Size;Generation(µs);Serialization(µs);ToRedis(µs)
512x512;24334;173;1997
128x128;1519;8;150
512x512;24255;176;1137
512x512;24031;153;1233
256x256;6015;38;408
512x512;24061;156;1195
256x256;6017;33;490
256x256;6113;16;451
128x128;1592;8;250
512x512;23996;180;1483
128x128;1537;7;263
512x512;23800;215;1383
256x256;6093;80;488
128x128;1567;11;268
128x128;1560;4;161
512x512;24122;187;1187
512x512;24436;184;1215
256x256;6162;38;451
512x512;23973;165;1248
256x256;6119;35;396
512x512;24199;163;1158
512x512;24035;145;1048
512x512;24419;148;1338
512x512;23830;157;1290
512x512;24387;154;1395
128x128;1547;8;200
512x512;24039;148;1293
128x128;1535;7;194
256x256;6269;38;368
256x256;6153;17;392
128x128;1579;4;191
512x512;24166;164;1260
512x512;23961;174;1286
512x512;23986;151;1073
128x128;1568;8;201
512x512;23872;147;1124
128x128;1553;8;165
256x256;6021;37;423
512x512;24095;158;1011
128x128;1536;7;305
256x256;6118;38;439
512x512;23945;193;1365
512x512;24203;204;1528
512x512;24002;182;1202
256x256;6141;40;377
128x128;1580;8;211
256x256;6249;23;411
128x128;1574;4;186
128x128;1539;4;235
512x512;24064;174;1176
128x128;1530;6;201
256x256;6077;33;384
128x128;1569;3;207
128x128;1586;3;172
512x512;23958;167;1159
512x512;24087;148;1223
256x256;6186;38;488
128x128;1566;8;222
512x512;24139;156;1267
256x256;5950;34;337
512x512;24132;158;1342
512x512;23930;144;1324
128x128;1558;8;182
512x512;24210;163;1126
256x256;6071;37;490
128x128;1537;7;219
256x256;6073;16;376
512x512;24080;173;1370
512x512;23969;150;1231
128x128;1539;8;200
512x512;24041;163;978
256x256;6142;38;449
256x256;6123;18;420
512x512;24066;165;1225
128x128;1530;8;292
128x128;1573;3;190
512x512;24176;165;1100
256x256;6007;36;347
128x128;1587;6;189
512x512;23987;166;1090
512x512;24173;173;1130
128x128;1546;9;190
256x256;6066;37;369
512x512;24051;205;2424
512x512;24022;187;1627
256x256;6063;41;381
256x256;6299;18;320
512x512;24041;167;1190
128x128;1539;23;199
256x256;5964;30;348
256x256;6186;17;451
256x256;6171;17;382
128x128;1586;4;173
256x256;6256;17;459
128x128;1544;4;247
512x512;24217;168;1207
512x512;24308;167;1258
128x128;1558;23;184
512x512;24043;164;1050
512x512;24017;155;1005
128x128;1540;8;197
256x256;6039;41;367
512x512;24094;186;1172
256x256;5998;38;451
512x512;24294;192;1339
128x128;1585;8;227
128x128;1547;41;200
128x128;1483;4;152
256x256;5987;38;429
512x512;24182;173;1348
256x256;6006;34;360
512x512;24100;188;1019
128x128;1598;8;198
128x128;1600;3;257
256x256;6261;36;384
256x256;6099;18;386
256x256;6190;16;553
512x512;24133;169;1215
512x512;23961;163;1313
512x512;23793;165;1137
512x512;24526;223;1152
512x512;24155;202;1197
256x256;6260;37;491
512x512;23979;175;1011
128x128;1573;9;230
128x128;1586;3;254
256x256;5970;35;405
256x256;6227;17;455
256x256;6291;17;517
512x512;24197;167;1326
512x512;24045;164;1308
128x128;1576;8;227
512x512;24011;155;1465
128x128;1514;6;195
256x256;6048;37;526
512x512;24278;161;1525
512x512;23917;144;1226
256x256;6053;41;527
512x512;24282;168;1481
512x512;23988;161;1413
128x128;1581;8;252
128x128;1613;3;252
256x256;6143;37;414
512x512;23910;159;1403
512x512;24200;159;1340
256x256;6136;38;374
256x256;6184;16;390
512x512;24109;171;1363
512x512;24047;173;1295
128x128;1592;8;254
256x256;6085;37;418
256x256;6135;16;408
256x256;6192;16;439
256x256;6263;16;487
512x512;24160;167;1258
512x512;23901;180;1046
512x512;24097;196;1064
512x512;24161;187;1219
256x256;6212;40;504
128x128;1604;23;258
128x128;1555;7;319
512x512;23917;202;1123
128x128;1592;8;238
128x128;1540;5;252
256x256;6240;50;431
512x512;24153;178;1292
512x512;25583;254;1078
128x128;1607;10;130
512x512;24580;182;1245
256x256;6015;39;632
512x512;24204;204;1842
128x128;1510;8;138
128x128;1576;5;215
512x512;23837;190;1085
512x512;24559;201;1605
128x128;1492;8;155
256x256;6126;42;381
128x128;1531;5;259
256x256;6149;47;501
512x512;24582;205;2004
128x128;1666;10;241
256x256;6126;39;414
512x512;24371;275;1930
256x256;6205;39;404
256x256;6157;25;852
256x256;6176;22;304
256x256;6304;25;511
128x128;1598;11;280
256x256;6061;37;397
128x128;1544;6;178
128x128;1586;3;191
512x512;24644;196;1409
128x128;1595;9;222
